Normal start with HEPAX

s   244    2EBC  1  117   -   0.045004852C.0.00 || 0000 00000000
s   245    2EBD  1  04E   -   0.045004852C.0.00 || 0000 00000000
s   246    2EBE  1  070   -   0.045004852C.0.00 || 0000 00000000
s   247    2EBF  1  309   -   0.0000000000.0.00 || 0000 00000000
s   248    2EC0  0  050   -   0.0000000000.0.00 || 0000 00000000
s   249    14C2  1  04E   -   0.0000000000.0.00 || 0000 00000000
s   250    14C3  1  270   -   0.0000000000.0.00 || 0000 00000000
s   251    14C4  1  378   -   0.0000000000.0.00 || 0000 00000000
s   252    14C5  1  03C   -   7.001006919C.1.97 || 0000 00000000
s   253    14C6  1  106   -   0.0000000000.1.97 || 0000 00000000
s   254    14C7  1  002   -   7.1A70000169.1.9C || 0000 00000000
s   255    14C8  1  3E0   -   7.1A70000169.1.9C || 0000 00000000
s   256    2EC1  1  133   -   7.1A70000169.1.9C || 0000 00000000
s   257    2EE7  1  10C   -   7.1A70000169.1.9C || 0000 00000000
s   258    2EE8  1  0EB   -   7.1A70000169.1.9C || 0000 00000000
s   259    2F05  1  0B0   -   7.1A70000169.1.9C || 0000 00000000
s   260    2F06  1  2E6   -   7.1A70000169.1.9C || 0000 00000000
s   261    2F07  1  20F   -   0.0000000000.0.00 || 0000 00000000
s   262    2F08  1  270   -   0.0000000000.0.00 || 0000 00000000
s   263    2F09  1  00C   -   0.0000000000.0.00 || 0000 00000000
s   264    2F0A  1  04B   -   0.0000000000.0.00 || 0000 00000000
s   265    2F13  1  3B8   -   0.0000000000.0.00 || 0000 00000000
s   266    2F14  1  358   -   0.000003C048.0.00 || 0000 00000000
s   267    2F15  1  24C   -   0.000003C048.0.00 || 0000 00000000
s   268    2F16  1  3A0   -   0.000003C048.0.00 || 0000 00000000
s   269    01BD  1  17C   -   0.000003C048.0.00 || 0000 00000000
s   270    01BE  1  3D8   -   0.0000000048.0.00 || 0000 00000000
s   271    01BF  1  304   -   8.0000000000.0.3C || 0000 00000000
s   272    01C0  1  088   -   8.0000000000.0.00 || 0000 00000000
s   273    01C1  1  144   -   8.0000000000.0.00 || 0000 00000000
s   274    01C2  1  284   -   8.0000000000.0.00 || 0000 00000000
s   275    01C3  1  3D8   -   8.0000000000.0.00 || 0000 00000000
