XF 000 from keyboard

s   366    015E  1  0FC   -   F.5000000000.0.06 || 0000 00000000
s   367    015F  1  1E0   -   F.F000000000.0.06 || 0000 00000000
s   368    006A  1  23B   -   0.000000006A.1.F5 || 0000 00000000
s   369    0031  1  299   -   0.000000006A.1.F5 || 0000 00000000
s   370    0032  0  00A   -   0.000000006A.1.F5 || 0000 00000000
s   371    02A6  1  219   -   0.000000006A.1.F5 || 0000 00000000
s   372    02A7  0  008   -   0.000000006A.1.F5 || 0000 00000000
s   373    0286  1  10E   -   0.000000006A.1.F5 || 0000 00000000
s   374    0287  1  2CC   -   0.000000006A.1.F5 || 0000 00000000
s   375    0288  1  01F   -   0.000000006A.1.F5 || 0000 00000000
s   376    0289  1  04C   -   0.000000006A.1.F5 || 0000 00000000
s   377    028A  1  3A0   -   0.000000006A.1.F5 || 0000 00000000
s   378    02A8  1  0AE   -   0.000000006A.1.F5 || 0000 00000000
s   379    02A9  1  358   -   0.000000006A.1.F5 || 0000 00000000
s   380    02AA  1  21C   -   0.000000006A.1.F5 || 0000 00000000
s   381    02AB  1  058   -   0.000000006A.1.F5 || 0000 00000000
s   382    02AC  1  1F6   -   0.000000006A.1.F5 || 0000 00000000
s   383    02AD  1  2BD   -   0.000000006A.1.F5 || 0000 00000000
s   384    02AE  0  0BE   -   0.000000006A.2.F5 || 0000 00000000
s   385    2FAF  1  0CE   -   0.000000006A.2.F5 || 0000 00000000
s   386    2FB0  1  070   -   0.000000006A.2.F5 || 0000 00000000
s   387    2FB1  1  098   -   0.0000000000.0.00 || 0000 00000000
s   388    2FB2  1  398   -   0.0000000000.0.00 || 0000 00000000
s   389    2FB3  1  001   -   0.000000000A.1.00 || 0000 00000000
s   390    2FB4  0  020   -   0.000000000A.1.F5 || 0000 00000000
s   391    0800  1  05A   -   0.000000000A.1.F5 || 0000 00000000
