OFF then ON 2nd time, no error message

s   247    5CA8  0  0FB   -   0.0000000000.0.10 || 0000 00000000
s   248    5CA9  1  3F0   -   0.0000000000.0.10 || 0000 00000000
s   249    5CAA  1  3A8   -   0.0000000000.0.FB || 0000 00000000
s   250    5CAB  1  138   -   0.0000000000.0.FB || 0000 00000000
s   251    5CAC  1  023   -   0.0000000000.0.00 || 0000 00000000
s   252    5CB0  1  3D8   -   0.0000000000.0.00 || 0000 00000000
s   253    5CB1  1  3E0   -   0.0000000000.0.00 || 0000 00000000
s   254    5F94  1  204   -   0.0000000000.0.80 || 0000 00000000
s   255    5F95  1  384   -   0.0000000000.0.80 || 0000 00000000
s   256    5F96  1  398   -   0.0000000000.0.80 || 0000 00000000
s   257    5F97  1  3A8   -   0.0000000000.0.80 || 0000 00000000
s   258    5F98  1  128   -   0.0000000000.0.00 || 0000 00000000
s   259    5F99  1  260   -   0.0000000000.0.00 || 0000 00000000
s   260    5F9A  1  0A0   -   0.0000000000.0.00 || 0000 00000000
s   261    5F9B  1  25D   -   0.0000000000.0.00 || 0000 00000000
s   262    5F9C  0  01C   -   0.0000000000.0.00 || 0000 00000000
s   263    0797  1  046   -   0.0000000000.0.00 || 0000 00000000
s   264    0798  1  3F0   -   0.0000000000.0.00 || 0000 00000000
s   265    0799  1  270   -   0.0000000000.0.00 || 0000 00000000
s   266    079A  1  3B8   -   0.0000000000.0.00 || 0000 00000000
s   267    079B  1  358   -   0.000003C048.0.20 || 0000 00000000
s   268    079C  1  3E0   -   0.000003C048.0.20 || 0000 00000000
s   269    5F9D  1  198   -   0.000003C048.0.20 || 0000 00000000
s   270    5F9E  1  3CD   -   0.000003C048.0.20 || 0000 00000000
s   271    5F9F  0  09E   -   0.11C00D5FF7.3.CB || 0000 00000000
s   272    27F3  1  15C   -   0.11C00D5FF7.3.CB || 0000 00000000
s   273    27F4  1  222   -   0.11C00D5FF7.3.CB || 0000 00000000
s   274    27F5  1  01B   -   0.11C00D5FF7.3.CB || 0000 00000000
s   275    27F8  1  330   -   0.11C00D6FF7.3.CB || 0000 00000000
s   276    6FF7  0  243   -   0.11C00D6FF7.3.CB || 0000 00000000
s   277    27F9  1  2E6   -   0.11C00D6FF7.3.CB || 0000 00000000
s   278    27FA  1  3D3   -   0.11C00D6FF7.2.43 || 0000 00000000
s   279    27FB  1  1E0   -   0.11C00D6FF7.2.43 || 0000 00000000
s   280    6FF7  1  243   -   0.11C00D6FF7.2.43 || 0000 00000000
s   281    6FBF  1  070   -   0.11C00D6FF7.2.43 || 0000 00000000
s   282    6FC0  1  365   -   0.11C00D6FF7.2.43 || 0000 00000000
s   283    6FC1  0  08C   -   0.11C00D6FF7.2.43 || 0000 00000000
s   284    23D9  1  1B0   -   0.11C00D6FF7.2.43 || 0000 00000000
s   285    23DA  1  02B   -   0.11C00D6FF7.2.43 || 0000 00000000
s   286    23DF  1  325   -   0.11C00D6FC2.2.43 || 0000 00000000
s   287    23E0  0  08C   -   0.11C00D6FC2.2.43 || 0000 00000000
s   288    23C9  1  330   -   0.11C00D6FC2.2.43 || 0000 00000000
s   289    6FC2  0  33F   -   0.11C00D6FC2.2.43 || 0000 00000000
s   290    23CA  1  3DA   -   0.11C00D6FC2.2.43 || 0000 00000000
s   291    23CB  1  3DA   -   0.11C00D6FC2.3.3F || 0000 00000000
s   292    23CC  1  3DA   -   0.01100CD6FC.3.3F || 0000 00000000
s   293    23CD  1  1EE   -   0.001001CD6F.3.3F || 0000 00000000
s   294    23CE  1  1EE   -   0.0000011CD6.3.3F || 0000 00000000
s   295    23CF  1  3E0   -   0.00000239AC.6.7E || 0000 00000000
s   296    23E1  1  0A3   -   0.0000047358.C.FC || 0000 00000000
s   297    23F5  1  23A   -   0.0000047358.C.FC || 0000 00000000
s   298    23F6  1  37C   -   0.0000047358.C.FC || 0000 00000000
s   299    23F7  1  1EE   -   0.0000047359.C.FC || 0000 00000000
s   300    23F8  1  1EE   -   0.04700359CF.C.00 || 0000 00000000
s   301    23F9  1  1E0   -   0.08E006B39F.8.00 || 0000 00000000
s   302    673F  1  04E   -   0.11C00D673F.0.00 || 0000 00000000
s   303    6740  1  1B0   -   0.11C00D673F.0.00 || 0000 00000000
s   304    6741  1  170   -   0.0000000000.0.00 || 0000 00000000
s   305    6742  1  11A   -   0.0000000000.0.00 || 0000 00000000
s   306    6743  1  35D   -   0.0000000000.0.00 || 0000 00000000
s   307    6744  0  000   -   0.0000000000.0.00 || 0000 00000000
s   308    00D7  1  1B0   -   0.0000000000.0.00 || 0000 00000000
s   309    00D8  1  170   -   0.0000000000.0.00 || 0000 00000000
s   310    00D9  1  3E0   -   0.0000006745.0.00 || 0000 00000000
s   311    6745  1  09C   -   0.0000006745.0.00 || 0000 00000000
s   312    6746  1  1D0   -   0.0000006745.0.00 || 0000 00000000
s   313    6747  1  250   -   0.0000006745.0.00 || 0000 00000000
s   314    6748  1  190   -   0.0000006745.0.00 || 0000 00000000
s   315    6749  1  37A   -   0.0000006795.0.00 || 0000 00000000
s   316    674A  1  0A7   -   0.0000006796.0.00 || 0000 00000000
s   317    675E  1  0B0   -   0.0000006796.0.00 || 0000 00000000
s   318    675F  1  3CD   -   0.0000006796.0.00 || 0000 00000000
s   319    6760  0  09E   -   0.11C00D6FF7.2.43 || 0000 00000000
s   320    27F3  1  15C   -   0.11C00D6FF7.2.43 || 0000 00000000
s   321    27F4  1  222   -   0.11C00D6FF7.2.43 || 0000 00000000
s   322    27F5  1  01B   -   0.11C00D6FF7.2.43 || 0000 00000000
s   323    27F8  1  330   -   0.11C00D7FF7.2.43 || 0000 00000000
s   324    7FF7  0  000   -   0.11C00D7FF7.2.43 || 0000 00000000
s   325    27F9  1  2E6   -   0.11C00D7FF7.2.43 || 0000 00000000
s   326    27FA  1  3D3   -   0.11C00D7FF7.0.00 || 0000 00000000
s   327    27F4  1  222   -   0.11C00D7FF7.0.00 || 0000 00000000
s   328    27F5  1  01B   -   0.11C00D7FF7.0.00 || 0000 00000000
s   329    27F8  1  330   -   0.11C00D8FF7.0.00 || 0000 00000000
s   330    8FF7  0  000   -   0.11C00D8FF7.0.00 || 0000 00000000
s   331    27F9  1  2E6   -   0.11C00D8FF7.0.00 || 0000 00000000
s   332    27FA  1  3D3   -   0.11C00D8FF7.0.00 || 0000 00000000
s   333    27F4  1  222   -   0.11C00D8FF7.0.00 || 0000 00000000
s   334    27F5  1  01B   -   0.11C00D8FF7.0.00 || 0000 00000000
s   335    27F8  1  330   -   0.11C00D9FF7.0.00 || 0000 00000000
s   336    9FF7  0  000   -   0.11C00D9FF7.0.00 || 0000 00000000
s   337    27F9  1  2E6   -   0.11C00D9FF7.0.00 || 0000 00000000
s   338    27FA  1  3D3   -   0.11C00D9FF7.0.00 || 0000 00000000
s   339    27F4  1  222   -   0.11C00D9FF7.0.00 || 0000 00000000
s   340    27F5  1  01B   -   0.11C00D9FF7.0.00 || 0000 00000000
s   341    27F8  1  330   -   0.11C00DAFF7.0.00 || 0000 00000000
s   342    AFF7  0  000   -   0.11C00DAFF7.0.00 || 0000 00000000
s   343    27F9  1  2E6   -   0.11C00DAFF7.0.00 || 0000 00000000
s   344    27FA  1  3D3   -   0.11C00DAFF7.0.00 || 0000 00000000
s   345    27F4  1  222   -   0.11C00DAFF7.0.00 || 0000 00000000
s   346    27F5  1  01B   -   0.11C00DAFF7.0.00 || 0000 00000000
s   347    27F8  1  330   -   0.11C00DBFF7.0.00 || 0000 00000000
s   348    BFF7  0  000   -   0.11C00DBFF7.0.00 || 0000 00000000
s   349    27F9  1  2E6   -   0.11C00DBFF7.0.00 || 0000 00000000
s   350    27FA  1  3D3   -   0.11C00DBFF7.0.00 || 0000 00000000
s   351    27F4  1  222   -   0.11C00DBFF7.0.00 || 0000 00000000
s   352    27F5  1  01B   -   0.11C00DBFF7.0.00 || 0000 00000000
s   353    27F8  1  330   -   0.11C00DCFF7.0.00 || 0000 00000000
s   354    CFF7  0  000   -   0.11C00DCFF7.0.00 || 0000 00000000
s   355    27F9  1  2E6   -   0.11C00DCFF7.0.00 || 0000 00000000
s   356    27FA  1  3D3   -   0.11C00DCFF7.0.00 || 0000 00000000
s   357    27F4  1  222   -   0.11C00DCFF7.0.00 || 0000 00000000
s   358    27F5  1  01B   -   0.11C00DCFF7.0.00 || 0000 00000000
s   359    27F8  1  330   -   0.11C00DDFF7.0.00 || 0000 00000000
s   360    DFF7  0  000   -   0.11C00DDFF7.0.00 || 0000 00000000
s   361    27F9  1  2E6   -   0.11C00DDFF7.0.00 || 0000 00000000
s   362    27FA  1  3D3   -   0.11C00DDFF7.0.00 || 0000 00000000
s   363    27F4  1  222   -   0.11C00DDFF7.0.00 || 0000 00000000
s   364    27F5  1  01B   -   0.11C00DDFF7.0.00 || 0000 00000000
s   365    27F8  1  330   -   0.11C00DEFF7.0.00 || 0000 00000000
s   366    EFF7  0  000   -   0.11C00DEFF7.0.00 || 0000 00000000
s   367    27F9  1  2E6   -   0.11C00DEFF7.0.00 || 0000 00000000
s   368    27FA  1  3D3   -   0.11C00DEFF7.0.00 || 0000 00000000
s   369    27F4  1  222   -   0.11C00DEFF7.0.00 || 0000 00000000
s   370    27F5  1  01B   -   0.11C00DEFF7.0.00 || 0000 00000000
s   371    27F8  1  330   -   0.11C00DFFF7.0.00 || 0000 00000000
s   372    FFF7  0  000   -   0.11C00DFFF7.0.00 || 0000 00000000
s   373    27F9  1  2E6   -   0.11C00DFFF7.0.00 || 0000 00000000
s   374    27FA  1  3D3   -   0.11C00DFFF7.0.00 || 0000 00000000
s   375    27F4  1  222   -   0.11C00DFFF7.0.00 || 0000 00000000
s   376    27F5  1  01B   -   0.11C00DFFF7.0.00 || 0000 00000000
s   377    27F6  1  229   -   0.11C00D0FF7.0.00 || 0000 00000000
s   378    27F7  0  0CA   -   0.11C00D0FF7.0.00 || 0000 00000000
s   379    328A  1  0D0   -   0.11C00D0FF7.0.00 || 0000 00000000
s   380    328B  1  15C   -   0.11C00D0FF7.0.00 || 0000 00000000
s   381    328C  1  330   -   0.11C00D3FF7.0.00 || 0000 00000000
s   382    3FF7  0  000   -   0.11C00D3FF7.0.00 || 0000 00000000
