Enter XF 000 in PRGM mode

s   328    2246  1  262   -   0.0000000006.1.97 || 0000 00000000
s   329    2247  1  10A   -   0.0000000005.1.97 || 0000 00000000
s   330    2248  1  270   -   0.0000000004.1.97 || 0000 00000000
s   331    2249  1  07C   -   0.0000000004.1.97 || 0000 00000000
s   332    224A  1  130   -   0.0000000004.1.97 || 0000 00000000
s   333    224B  0  220   -   9.72F0000000.0.00 || 0000 00000000
s   334    224C  1  0FC   -   9.72F0000000.0.00 || 0000 00000000
s   335    224D  1  1E0   -   F.F2F0000000.2.20 || 0000 00000000
s   336    2204  1  038   -   0.0000002204.1.97 || 0000 00000000
s   337    2205  1  103   -   C.2040009C60.0.F4 || 0000 00000000
s   338    2225  1  23C   -   C.2040009C60.0.F4 || 0000 00000000
s   339    2226  1  3E0   -   0.0000000000.0.F4 || 0000 00000000
s   340    26D2  1  23E   -   7.3C2000409C.6.00 || 0000 00000000
s   341    26D3  1  3D3   -   7.3C2000409C.6.00 || 0000 00000000
s   342    26D4  1  27C   -   7.3C2000409C.6.00 || 0000 00000000
s   343    26D5  1  262   -   0.002000409C.6.00 || 0000 00000000
s   344    26D6  1  058   -   4.09C0060004.7.3C || 0000 00000000
s   345    26D7  1  08A   -   4.09C0060003.7.3C || 0000 00000000
s   346    26D8  1  0CA   -   4.09C0060003.7.3C || 0000 00000000
s   347    26D9  1  0FC   -   4.09C0060003.7.3C || 0000 00000000
s   348    26DA  1  0CA   -   0.09C0060004.1.97 || 0000 00000000
s   349    26DB  1  10E   -   6.0000041972.0.40 || 0000 00000000
s   350    26DC  1  34D   -   6.0000041974.1.97 || 0000 00000000
s   351    26DD  0  0A4   -   6.0000041974.1.97 || 0000 00000000
s   352    29D3  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   353    29D4  1  037   -   6.0000041974.1.97 || 0000 00000000
s   354    29D5  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   355    29D6  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   356    29D7  1  02F   -   6.0000041974.1.97 || 0000 00000000
s   357    29D8  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   358    29D9  1  3E0   -   6.0000041974.1.97 || 0000 00000000
s   359    26DE  1  359   -   6.0000041974.1.97 || 0000 00000000
s   360    26DF  0  0A4   -   6.0000041974.1.97 || 0000 00000000
s   361    29D6  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   362    29D7  1  02F   -   6.0000041974.1.97 || 0000 00000000
s   363    29DC  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   364    29DD  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   365    29DE  1  1A2   -   6.0000041974.1.97 || 0000 00000000
s   366    29DF  1  1AE   -   6.0000041974.1.97 || 0000 00000000
s   367    29E0  1  3E0   -   6.0000041974.1.97 || 0000 00000000
s   368    26E0  1  198   -   6.0000041974.1.97 || 0000 00000000
s   369    26E1  1  0EE   -   6.0000041974.1.97 || 0000 00000000
s   370    26E2  1  06E   -   0.0000000004.6.58 || 0000 00000000
s   371    26E3  1  06E   -   0.0000000004.1.97 || 0000 00000000
s   372    26E4  1  01C   -   0.0000000004.1.97 || 0000 00000000
s   373    26E5  1  2E5   -   0.0000000004.1.97 || 0000 00000000
s   374    26E6  0  0A4   -   0.0000000004.1.97 || 0000 00000000
s   375    29B9  1  359   -   0.0000000004.1.97 || 0000 00000000
s   376    29BA  0  0A4   -   0.0000000004.1.97 || 0000 00000000
s   377    29D6  1  1A2   -   0.0000000004.1.97 || 0000 00000000
s   378    29D7  1  02F   -   0.0000000004.1.97 || 0000 00000000
s   379    29D8  1  1A2   -   0.0000000004.1.97 || 0000 00000000
s   380    29D9  1  3E0   -   0.0000000004.1.97 || 0000 00000000
s   381    29BB  1  0AA   -   0.0000000004.1.97 || 0000 00000000
s   382    29BC  1  10A   -   0.0000000004.1.97 || 0000 00000000
s   383    29BD  1  270   -   0.000000000A.1.96 || 0000 00000000
s   384    29BE  1  07C   -   0.000000000A.1.96 || 0000 00000000
s   385    29BF  1  130   -   0.000000000A.1.96 || 0000 00000000
s   386    29C0  0  221   -   9.6000000000.0.00 || 0000 00000000
s   387    29C1  1  0FC   -   9.6000000000.0.00 || 0000 00000000
s   388    29C2  1  1E0   -   0.0000000000.2.21 || 0000 00000000
s   389    221A  1  038   -   0.000000221A.1.96 || 0000 00000000
s   390    221B  1  393   -   5.4530054838.3.00 || 0000 00000000
